,top_x,top_y,bottom_x,bottom_y
900,4058.5135135135138,1096.8317970383575,4058.5135135135138,-1078.8317970383575
901,4062.9729729729734,1098.2525979855527,4062.9729729729734,-1080.2525979855527
902,4067.4324324324325,1099.6608481189373,4067.4324324324325,-1081.6608481189373
903,4071.891891891892,1101.0262234318272,4071.891891891892,-1083.0262234318272
904,4076.3513513513517,1102.3183999175355,4076.3513513513517,-1084.3183999175355
905,4080.810810810811,1103.5070535693776,4080.810810810811,-1085.5070535693776
906,4085.2702702702704,1104.5618603806681,4085.2702702702704,-1086.5618603806681
907,4089.72972972973,1105.4524963447207,4089.72972972973,-1087.4524963447207
908,4094.189189189189,1106.1486374548501,4094.189189189189,-1088.1486374548501
909,4098.648648648648,1106.6324615477654,4098.648648648648,-1088.6324615477654
910,4103.108108108108,1106.9733335271426,4103.108108108108,-1088.9733335271426
911,4107.567567567568,1107.2777465421284,4107.567567567568,-1089.2777465421284
912,4112.027027027027,1107.6523309363117,4112.027027027027,-1089.6523309363117
913,4116.486486486487,1108.203717053281,4116.486486486487,-1090.203717053281
914,4120.945945945947,1109.038535236624,4120.945945945947,-1091.038535236624
915,4125.405405405405,1110.263415829929,4125.405405405405,-1092.263415829929
916,4129.864864864865,1111.9849891767851,4129.864864864865,-1093.9849891767851
917,4134.324324324325,1114.3098856207803,4134.324324324325,-1096.3098856207803
918,4138.783783783783,1117.3447355055014,4138.783783783783,-1099.3447355055014
919,4143.243243243243,1121.1786205089657,4143.243243243243,-1103.1786205089657
920,4147.7027027027025,1125.7357265473254,4147.7027027027025,-1107.7357265473254
921,4152.1621621621625,1130.8498913288233,4152.1621621621625,-1112.8498913288233
922,4156.621621621622,1136.3540271437882,4156.621621621622,-1118.3540271437882
923,4161.081081081081,1142.0810462825511,4161.081081081081,-1124.0810462825511
924,4165.540540540541,1147.8638610354437,4165.540540540541,-1129.8638610354437
925,4170.0,1153.5353836927945,4170.0,-1135.5353836927945
926,4174.45945945946,1158.9285265449353,4174.45945945946,-1140.9285265449353
927,4178.918918918919,1163.876201882195,4178.918918918919,-1145.876201882195
928,4183.378378378378,1168.2113219949044,4183.378378378378,-1150.2113219949044
929,4187.837837837838,1171.7785268198622,4187.837837837838,-1153.7785268198622
930,4192.2972972972975,1174.5749498893158,4192.2972972972975,-1156.5749498893158
931,4196.756756756757,1176.7043676781677,4196.756756756757,-1158.7043676781677
932,4201.216216216217,1178.2727449102215,4201.216216216217,-1160.2727449102215
933,4205.675675675676,1179.3860463092806,4205.675675675676,-1161.3860463092806
934,4210.135135135135,1180.150236599149,4210.135135135135,-1162.150236599149
935,4214.594594594595,1180.6712805036304,4214.594594594595,-1162.6712805036304
936,4219.054054054054,1181.0551427465289,4219.054054054054,-1163.0551427465289
937,4223.513513513513,1181.4077880516481,4223.513513513513,-1163.4077880516481
938,4227.972972972973,1181.835181142792,4227.972972972973,-1163.835181142792
939,4232.4324324324325,1182.4396058777552,4232.4324324324325,-1164.4396058777552
940,4236.891891891892,1183.2543469177067,4236.891891891892,-1165.2543469177067
941,4241.351351351352,1184.2514093211812,4241.351351351352,-1166.2514093211812
942,4245.810810810811,1185.4006680159225,4245.810810810811,-1167.4006680159225
943,4250.270270270271,1186.671997929672,4250.270270270271,-1168.671997929672
944,4254.72972972973,1188.0352739901728,4254.72972972973,-1170.0352739901728
945,4259.189189189189,1189.4603711251673,4259.189189189189,-1171.4603711251673
946,4263.648648648649,1190.9171642623985,4263.648648648649,-1172.9171642623985
947,4268.108108108108,1192.375528329609,4268.108108108108,-1174.375528329609
948,4272.5675675675675,1193.805338254541,4272.5675675675675,-1175.805338254541
949,4277.0270270270275,1195.1771680107286,4277.0270270270275,-1177.1771680107286
950,4281.486486486487,1196.4817017210148,4281.486486486487,-1178.4817017210148
951,4285.945945945946,1197.7322669994985,4285.945945945946,-1179.7322669994985
952,4290.405405405406,1198.9433994114056,4290.405405405406,-1180.9433994114056
953,4294.864864864865,1200.1296345219616,4294.864864864865,-1182.1296345219616
954,4299.324324324324,1201.3055078963919,4299.324324324324,-1183.3055078963919
955,4303.783783783784,1202.485555099923,4303.783783783784,-1184.485555099923
956,4308.243243243243,1203.6843116977793,4308.243243243243,-1185.6843116977793
