,100_top_x,100_top_y,100_bottom_x,100_bottom_y
627,2826.0,27.031757439505036,2826.0,-9.031757439505036
628,2830.5,27.05461504445323,2830.5,-9.054615044453229
629,2835.0,27.077167711424423,2835.0,-9.077167711424423
630,2839.5,27.09946887369911,2839.5,-9.09946887369911
631,2844.0,27.121571964557774,2844.0,-9.121571964557774
632,2848.5,27.1435304172809,2848.5,-9.1435304172809
633,2853.0,27.165397665148973,2853.0,-9.165397665148973
634,2857.5,27.187227141442495,2857.5,-9.187227141442495
635,2862.0,27.20907227944194,2862.0,-9.20907227944194
636,2866.5,27.23098629540747,2866.5,-9.230986295407469
637,2871.0,27.2530012179855,2871.0,-9.2530012179855
638,2875.5,27.27511040601596,2875.5,-9.275110406015958
639,2880.0,27.297303102990462,2880.0,-9.297303102990462
640,2884.5,27.319568552400593,2884.5,-9.319568552400593
641,2889.0,27.34189599773796,2889.0,-9.34189599773796
642,2893.5,27.36427468249416,2893.5,-9.364274682494159
643,2898.0,27.38669385016079,2898.0,-9.386693850160789
644,2902.5,27.409142744229452,2902.5,-9.409142744229452
645,2907.0,27.431610608191733,2907.0,-9.431610608191733
646,2911.5,27.454086685889116,2911.5,-9.454086685889116
647,2916.0,27.476560315847664,2916.0,-9.476560315847664
648,2920.5,27.49902105893825,2920.5,-9.49902105893825
649,2925.0,27.521458507913994,2925.0,-9.521458507913994
650,2929.5,27.543862255528015,2929.5,-9.543862255528015
651,2934.0,27.566221894533427,2934.0,-9.566221894533427
652,2938.5,27.588527017683365,2938.5,-9.588527017683365
653,2943.0,27.610767217730935,2943.0,-9.610767217730935
654,2947.5,27.63293208742926,2947.5,-9.63293208742926
655,2952.0,27.655011219531456,2952.0,-9.655011219531456
656,2956.5,27.6769942146535,2956.5,-9.6769942146535
657,2961.0,27.69888422896967,2961.0,-9.698884228969671
658,2965.5,27.72072578512304,2965.5,-9.72072578512304
659,2970.0,27.742571268609534,2970.0,-9.742571268609534
660,2974.5,27.76447306492508,2974.5,-9.764473064925081
661,2979.0,27.78648355956559,2979.0,-9.786483559565589
662,2983.5,27.808655138026992,2983.5,-9.808655138026992
663,2988.0,27.83104018580521,2988.0,-9.831040185805211
664,2992.5,27.853691088396168,2992.5,-9.853691088396168
665,2997.0,27.876660231295794,2997.0,-9.876660231295794
666,3001.5,27.9,3001.5,-9.899999999999999
667,3006.0,27.923720859965922,3006.0,-9.923720859965922
668,3010.5,27.94766559649554,3010.5,-9.94766559649554
669,3015.0,27.97163507485205,3015.0,-9.971635074852049
670,3019.5,27.995430160298632,3019.5,-9.995430160298632
671,3024.0,28.01885171809847,3024.0,-10.018851718098471
672,3028.5,28.041700613514767,3028.5,-10.041700613514767
673,3033.0,28.063777711810697,3033.0,-10.063777711810697
674,3037.5,28.084883878249457,3037.5,-10.084883878249457
675,3042.0,28.104819978094234,3042.0,-10.104819978094234
676,3046.5,28.12338687660822,3046.5,-10.123386876608219
677,3051.0,28.14044871743054,3051.0,-10.14044871743054
678,3055.5,28.15620255173619,3055.5,-10.15620255173619
679,3060.0,28.17095452262028,3060.0,-10.170954522620281
680,3064.5,28.185010836456303,3064.5,-10.185010836456303
681,3069.0,28.198677699617754,3069.0,-10.198677699617754
682,3073.5,28.212261318478124,3073.5,-10.212261318478124
683,3078.0,28.226067899410907,3078.0,-10.226067899410907
684,3082.5,28.24040364878959,3082.5,-10.240403648789592
685,3087.0,28.255574772987668,3087.0,-10.255574772987668
686,3091.5,28.27188747837863,3091.5,-10.27188747837863
687,3096.0,28.289606345219184,3096.0,-10.289606345219184
688,3100.5,28.308705655854045,3100.5,-10.308705655854045
689,3105.0,28.32903607048411,3105.0,-10.329036070484111
690,3109.5,28.350447792507886,3109.5,-10.350447792507886
691,3114.0,28.372791025323863,3114.0,-10.372791025323863
692,3118.5,28.395915972330556,3118.5,-10.395915972330556
693,3123.0,28.41967283692646,3123.0,-10.419672836926459
694,3127.5,28.443911822510078,3127.5,-10.443911822510078
695,3132.0,28.468483132479914,3132.0,-10.468483132479914
696,3136.5,28.493236970234477,3136.5,-10.493236970234477
697,3141.0,28.51802384880571,3141.0,-10.518023848805711
698,3145.5,28.542697190691484,3145.5,-10.542697190691484
699,3150.0,28.567112012518134,3150.0,-10.567112012518134
700,3154.5,28.591123347240323,3154.5,-10.591123347240323
701,3159.0,28.614586227812723,3159.0,-10.614586227812723
702,3163.5,28.63735568719,3163.5,-10.637355687189999
703,3168.0,28.659286758326807,3168.0,-10.659286758326807
704,3172.5,28.68023447417783,3172.5,-10.68023447417783
705,3177.0,28.700053867697726,3177.0,-10.700053867697726
706,3181.5,28.718599971841165,3181.5,-10.718599971841165
707,3186.0,28.735746575243915,3186.0,-10.735746575243915
708,3190.5,28.751611345077524,3190.5,-10.751611345077524
709,3195.0,28.766482499444667,3195.0,-10.766482499444667
710,3199.5,28.780651756050364,3199.5,-10.780651756050364
