,0.9_top_x,0.9_top_y,0.9_bottom_x,0.9_bottom_y
37,171.0,49.88418622257318,171.0,-49.88418622257318
38,175.5,50.285939622113695,175.5,-50.285939622113695
39,180.0,50.6694390824434,180.0,-50.6694390824434
40,184.5,51.02750363074595,184.5,-51.02750363074595
41,189.0,51.35347572483405,189.0,-51.35347572483405
42,193.5,51.64750394673533,193.5,-51.64750394673533
43,198.0,51.91449658731734,198.0,-51.91449658731734
44,202.5,52.15945960380414,202.5,-52.15945960380414
45,207.0,52.38739895341968,207.0,-52.38739895341968
46,211.5,52.60332059338802,211.5,-52.60332059338802
47,216.0,52.812230480933195,216.0,-52.812230480933195
48,220.5,53.01913457327916,220.5,-53.01913457327916
49,225.0,53.229038827649994,225.0,-53.229038827649994
50,229.5,53.4469492012697,229.5,-53.4469492012697
51,234.0,53.677661330476845,234.0,-53.677661330476845
52,238.5,53.92202830871629,238.5,-53.92202830871629
53,243.0,54.17740177617376,243.0,-54.17740177617376
54,247.5,54.44101165955964,247.5,-54.44101165955964
55,252.0,54.71008788558432,252.0,-54.71008788558432
56,256.5,54.981860380958196,256.5,-54.981860380958196
57,261.0,55.25355907239165,261.0,-55.25355907239165
58,265.5,55.52241388659505,265.5,-55.52241388659505
59,270.0,55.785654750278816,270.0,-55.785654750278816
60,274.5,56.04051159015328,274.5,-56.04051159015328
61,279.0,56.284311639571094,279.0,-56.284311639571094
62,283.5,56.51718144936771,283.5,-56.51718144936771
63,288.0,56.74239952713286,288.0,-56.74239952713286
64,292.5,56.963412526334004,292.5,-56.963412526334004
65,297.0,57.183667100438605,297.0,-57.183667100438605
66,301.5,57.406609902914106,301.5,-57.406609902914106
67,306.0,57.63568758722797,306.0,-57.63568758722797
68,310.5,57.87434680684766,310.5,-57.87434680684766
69,315.0,58.12603421524065,315.0,-58.12603421524065
70,319.5,58.39419646587436,319.5,-58.39419646587436
71,324.0,58.682206420447756,324.0,-58.682206420447756
72,328.5,58.989840744941574,328.5,-58.989840744941574
73,333.0,59.3117337414689,333.0,-59.3117337414689
74,337.5,59.64212423438349,337.5,-59.64212423438349
75,342.0,59.975251048039084,342.0,-59.975251048039084
76,346.5,60.305353006789424,346.5,-60.305353006789424
77,351.0,60.626668934988274,351.0,-60.626668934988274
78,355.5,60.93343765698937,355.5,-60.93343765698937
79,360.0,61.21989799714646,360.0,-61.21989799714646
80,364.5,61.480288779813314,364.5,-61.480288779813314
81,369.0,61.708899030866604,369.0,-61.708899030866604
82,373.5,61.90491893227438,373.5,-61.90491893227438
83,378.0,62.07648383366607,378.0,-62.07648383366607
84,382.5,62.23268105429131,382.5,-62.23268105429131
85,387.0,62.38259791339973,387.0,-62.38259791339973
86,391.5,62.53532173024091,391.5,-62.53532173024091
87,396.0,62.69993982406452,396.0,-62.69993982406452
88,400.5,62.88553951412014,400.5,-62.88553951412014
89,405.0,63.101208119657436,405.0,-63.101208119657436
90,409.5,63.356032959925976,409.5,-63.356032959925976
91,414.0,63.659078280364604,414.0,-63.659078280364604
92,418.5,64.01316397636077,418.5,-64.01316397636077
93,423.0,64.40644653653018,423.0,-64.40644653653018
94,427.5,64.82497984847811,427.5,-64.82497984847811
95,432.0,65.25481779980993,432.0,-65.25481779980993
96,436.5,65.68201427813091,436.5,-65.68201427813091
97,441.0,66.09262317104638,441.0,-66.09262317104638
98,445.5,66.47269836616167,445.5,-66.47269836616167
99,450.0,66.80829375108208,450.0,-66.80829375108208
100,454.5,67.08546321341295,454.5,-67.08546321341295
101,459.0,67.29026423118108,459.0,-67.29026423118108
102,463.5,67.41494416906703,463.5,-67.41494416906703
103,468.0,67.4706395992254,468.0,-67.4706395992254
104,472.5,67.4720775153037,472.5,-67.4720775153037
105,477.0,67.4339849109494,477.0,-67.4339849109494
106,481.5,67.37108877981007,481.5,-67.37108877981007
107,486.0,67.29811611553315,486.0,-67.29811611553315
108,490.5,67.2297939117662,490.5,-67.2297939117662
109,495.0,67.18084916215668,495.0,-67.18084916215668
110,499.5,67.16600886035212,499.5,-67.16600886035212
111,504.0,67.19999999999999,504.0,-67.19999999999999
112,508.5,67.29358670883771,508.5,-67.29358670883771
113,513.0,67.44168165096212,513.0,-67.44168165096212
114,517.5,67.63523462456,517.5,-67.63523462456
115,522.0,67.86519542781807,522.0,-67.86519542781807
116,526.5,68.12251385892304,526.5,-68.12251385892304
